Titel;Author                   ;My Rating ;Average Rating ;Bookshelves       ;Serie;Serien Nr.;ISBN Combined;Book Id  ;Publisher                                   ;Binding               ;Number of Pages ;Year Published ;Original Publication Year ;Date Read  ;Date Added ;My Review                                                                                                                                                                                                                                                                                                            ;Private Notes ;Read Count ;PublishedDate ;PageCount ;Categories                              ;Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;ImageURL
Invincible ;Jack Campbell            ;2;          4.12 ;read;The Lost Fleet;2;9781937007454;12398719;Penguin                                     ;Hardcover             ;389;2012;2012;           ;08.01.2017;                                                                                                                                                                                                                                                                                                                     ;              ;1;01.05.2012;400;Fiction                                 ;Admiral John â€œBlack Jackâ€ Geary was revived from cryogenic sleep to lead the Alliance against the Syndicate Worlds. But his superiors question his loyalty to the regime. Now in command of the First Fleet, he is tasked with exploring the frontier beyond Syndic space, a mission he fears deliberately puts the fleetâ€”and himselfâ€”in harmâ€™s way... An encounter with the alien enigmas confirms Gearyâ€™s fears. Attacked without warning, he orders the fleet to jump star systemsâ€”only to enter the crosshairs of another hostile alien armada. Ignoring the First Fleetâ€™s peaceful communications, this species sends its ships into battle while it guards the exiting jump point with a fortress of incalculable power. Now Geary must find a way to reach the jump point without massive casualtiesâ€”even though the enigmas could be waiting on the other sideâ€¦                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;http://books.google.com/books/content?id=X257BY4-dnMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
Victorious ;Jack Campbell            ;3;          4.1  ;read;The Lost Fleet;6;9780441018697;7200884;Penguin                                     ;Mass Market Paperback ;352;2010;2010;08.01.2017;08.01.2017;                                                                                                                                                                                                                                                                                                                     ;              ;1;27.04.2010;352;Fiction                                 ;"The Lost Fleet: Relentless found its way onto the New York Times bestseller list... Now Victorious leads the charge again-and ""Black Jack"" Geary is in command... As war continues to rage between the Alliance and Syndicate Worlds, Captain ""Black Jack"" Geary is promoted to admiral-even though the ruling council fears he may stage a military coup. His new rank gives him the authority to negotiate with the Syndics, who have suffered tremendous losses and may finally be willing to end the war. But an even greater alien threat lurks on the far side of the Syndic occupied space.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ";http://books.google.com/books/content?id=iNFKJ4K6R-EC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
Relentless ;Jack Campbell            ;0;          4.09 ;to-read           ;The Lost Fleet;5;9780441017089;5292173;Penguin                                     ;Mass Market Paperback ;336;2009;2009;08.01.2017;08.01.2017;                                                                                                                                                                                                                                                                                                                     ;              ;1;28.04.2009;338;Fiction                                 ;Captain John â€œBlack Jackâ€ Geary races to save a group of Alliance POWs from certain death in this gripping novel in New York Times bestselling author Jack Campbell's Lost Fleet series. Alliance prisoners of war are being held at a labor camp in the Heradao star system, which also happens to be the location of the majority of the surviving Syndic warships. Determined not to leave any of his people behind, â€œBlack Jackâ€ Geary orders the fleet to strike hard and fast to rescue the POWs with minimal Alliance losses. The raid is successful, but victory is short-lived. Geary discovers that the Syndics plan to ambush the fleet with their powerful reserve flotilla in an attempt to annihilate it once and for allâ€”but he doesnâ€™t know where the enemy is located. And as Geary has the fleet jump from one star system to the next, hoping to avoid the inevitable confrontation, saboteurs contribute to the chaos...                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;http://books.google.com/books/content?id=2AtAVHGe4dwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
Dreadnaught ;Jack Campbell            ;2;          4.05 ;read;The Lost Fleet;1;9780441020379;9676849;Titan Publishing Company                    ;Hardcover             ;356;2011;2011;08.01.2017;08.01.2017;                                                                                                                                                                                                                                                                                                                     ;              ;1;2011;0;Geary, John (Fictitious character)    ;"The Alliance woke Captain John ""Black Jack"" Geary from cryogenic sleep to take command of the fleet in the century-long conflict against the Syndicate Worlds. Now Admiral Geary's victory has earned him the adoration of the people--and the enmity of politicians convinced that a living hero can be a very inconvenient thing. The war may be over, but Geary and his newly christened First Fleet have been ordered back into action to investigate the aliens occupying the far side of Syndic space and to determine how much of a threat they represent to the Alliance. And while the Syndic Worlds are no longer united, individually they may be more dangerous than ever before. Geary knows that members of the military high command and the government question his loyalty to the Alliance and fear his staging a coup--so he can't help but wonder if the fleet is being deliberately sent on a suicide mission.""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ";http://books.google.com/books/content?id=DHplzgAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
Valiant ;Jack Campbell            ;2;          4.0  ;read;The Lost Fleet;4;9780441016198;2341319;Penguin                                     ;Mass Market Paperback ;284;2008;2008;08.01.2017;08.01.2017;                                                                                                                                                                                                                                                                                                                     ;              ;1;24.06.2008;304;Fiction                                 ;Legendary war hero Captain â€œBlack Jackâ€ Geary fights to stay ahead of his enemies in the fourth novel in Jack Campbellâ€™s New York Times bestselling military science fiction series. Deep within Syndicate World space, the Alliance fleet continues its dangerous journey home under the command of Captain John â€œBlack Jackâ€ Gearyâ€”revived after a century spent in suspended animation. Gearyâ€™s victories over the enemy have earned both the respectâ€”and the envyâ€”of his fellow officers... Geary has made many risky decisions as commander of the Alliance fleet, but ordering them back to the Lakota Star System where the Syndics nearly destroyed them has his officers questioning his sanity. Itâ€™s a desperate gamble that may buy the fleet just enough time to prepare for the Syndicsâ€™ inevitable return. Even as he struggles to give the fleet a fighting chance at survival, Geary faces dissent from within. An unknown number of officers want a change of command, but Geary knows that the Alliance fleet must stand together, or else the Syndic forces will tear them apart...                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;http://books.google.com/books/content?id=7J8n7tvgIycC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
Fearless ;Jack Campbell            ;3;          3.99 ;read;The Lost Fleet;2;9780441014767;96594;Penguin                                     ;Mass Market Paperback ;295;2007;2007;08.01.2017;08.01.2017;                                                                                                                                                                                                                                                                                                                     ;              ;1;30.01.2007;306;Fiction                                 ;Captain John â€œBlack Jackâ€ Geary tries a desperate gamble to lead the Alliance Fleet home through enemy-occupied space in this novel in the thrilling Lost Fleet series. Geary is convinced that the Syndics are planning to ambush the fleet and finish it off once and for all. Realizing the fleetâ€™s best (and only) chance is to do the unexpected, Geary takes the offensive and orders the fleet to the Sancere system. There, a multitude of possible routes home give the Alliance fleet a better chance of avoiding their pursuersâ€”and an attack on the Sancere shipbuilding facilities could decimate the Syndic war effort. Weary from endless combat, the officers and crew of the Alliance fleet canâ€™t see the sense in charging deeper into enemy territoryâ€”prompting a mutiny that divides them, and leaving Geary with the odds higher against him than ever before...                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;http://books.google.com/books/content?id=zs4VXctuga4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
Courageous ;Jack Campbell            ;3;          3.99 ;read;The Lost Fleet;3;9780441015672;1372055;Titan Publishing Company                    ;Mass Market Paperback ;299;2007;2007;08.01.2017;08.01.2017;                                                                                                                                                                                                                                                                                                                     ;              ;1;2011;0;Imaginary wars and battles              ;"Captain John ""Black Jack"" Geary, jumping from system to system to keep one step ahead of the Syndics, stumbles upon fragments of intelligence that expose the existence of another potential player in the war that has the means to destroy the human race.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ";http://books.google.com/books/content?id=0CzHSgAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
Dauntless ;Jack Campbell            ;2;          3.96 ;read;The Lost Fleet;1;9780441014187;112292;Penguin                                     ;Mass Market Paperback ;293;2006;2006;08.01.2017;15.10.2016;                                                                                                                                                                                                                                                                                                                     ;              ;1;27.06.2006;308;Fiction                                 ;Captain John â€œBlack Jackâ€ Gearyâ€™s legendary exploits are known to every schoolchild. Revered for his heroic â€œlast standâ€ in the early days of the war, he was presumed dead. But a century later, Geary miraculously returns from survival hibernation and reluctantly takes command of the Alliance Fleet as it faces annihilation by the Syndic. Appalled by the hero-worship around him, Geary is nevertheless a man who will do his duty. And he knows that bringing the stolen Syndic hypernet key safely home is the Allianceâ€™s one chance to win the war. But to do that, Geary will have to live up to the impossibly heroic â€œBlack Jackâ€ legend...                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;http://books.google.com/books/content?id=nejWAgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
Das Erbe der Seher ;James  Islington         ;3;          4.14 ;read;The Licanius Trilogy;1;9783426520956;33303580;                                            ;Paperback             ;800;2017;2014;20.10.2019;20.10.2019;                                                                                                                                                                                                                                                                                                                     ;              ;1;              ;          ;                                        ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones ;James Clear              ;3;          4.37 ;read;;;9781473537804;40121378;Random House                                ;Kindle Edition        ;319;2018;2018;26.01.2020;14.01.2020;Gutes Konzept wenn man neue Gewohnheiten annehmen will. Mir fehlt aber ein praktischer Leitfaden                                                                                                                                                                                                                     ;              ;1;18.10.2018;234;Self-Help                               ;THE PHENOMENAL INTERNATIONAL BESTSELLER: OVER 1O MILLION COPIES SOLD WORLDWIDE Transform your life with tiny changes in behaviour, starting now. People think that when you want to change your life, you need to think big. But world-renowned habits expert James Clear has discovered another way. He knows that real change comes from the compound effect of hundreds of small decisions: doing two push-ups a day, waking up five minutes early, or holding a single short phone call. He calls them atomic habits. In this ground-breaking book, Clears reveals exactly how these minuscule changes can grow into such life-altering outcomes. He uncovers a handful of simple life hacks (the forgotten art of Habit Stacking, the unexpected power of the Two Minute Rule, or the trick to entering the Goldilocks Zone), and delves into cutting-edge psychology and neuroscience to explain why they matter. Along the way, he tells inspiring stories of Olympic gold medalists, leading CEOs, and distinguished scientists who have used the science of tiny habits to stay productive, motivated, and happy. These small changes will have a revolutionary effect on your career, your relationships, and your life. ________________________________ A NEW YORK TIMES AND SUNDAY TIMES BESTSELLER 'A supremely practical and useful book.' Mark Manson, author of The Subtle Art of Not Giving A F*ck 'James Clear has spent years honing the art and studying the science of habits. This engaging, hands-on book is the guide you need to break bad routines and make good ones.' Adam Grant, author of Originals 'Atomic Habits is a step-by-step manual for changing routines.' Books of the Month, Financial Times 'A special book that will change how you approach your day and live your life.' Ryan Holiday, author of The Obstacle is the Way                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;http://books.google.com/books/content?id=fFCjDQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
Stolz und Vorurteil  ;Jane Austen              ;0;          4.28 ;to-read           ;;;9781484803530;22241804;Verlagsgruppe Random House GmbH             ;Paperback             ;322;2013;1813;           ;30.08.2018;                                                                                                                                                                                                                                                                                                                     ;              ;1;13.10.2022;304;Fiction                                 ;Eine unvergessliche Geschichte über die ganz groÃŸe Liebe Für die Familie Bennet wird es höchste Zeit, die drei Ã¤ltesten der insgesamt fünf Töchter zu verheiraten. Kein leichtes Unterfangen für eine Familie auf dem Land, die nur über ein bescheidenes Vermögen verfügt. Ausgerechnet die intelligente Elizabeth, das Lieblingskind des Vaters, erweist sich als besonders schwierig. Zum allgemeinen UnverstÃ¤ndnis schlÃ¤gt sie den Antrag eines wohlsituierten Pfarrers aus. Dann lernt sie den gutaussehenden Mr. Darcy kennen, doch dieser scheint zunÃ¤chst nur wenig Interesse an ihr zu haben ... Stolz und Vorurteil ist die berühmteste Liebesgeschichte aller Zeiten und aus dem Kanon der Weltliteratur nicht mehr wegzudenken. PENGUIN EDITION. Zeitlos, kultig, bunt. â€“ Ausgezeichnet mit dem German Brand Award 2022                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;http://books.google.com/books/content?id=YEVnEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
Hüter der Schatten ;Janine Hofeditz          ;2;          3.7  ;read;Die Fengard Chroniken;1;                  ;30634480;                                            ;Kindle Edition        ;397;2016;                          ;           ;10.06.2018;                                                                                                                                                                                                                                                                                                                     ;              ;1;              ;          ;                                        ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
